years_experience,salary
6.77,35308
10.42,59541
0.4,37246
5.92,35656
11.25,51243
1.16,32804
23.65,79462
2.48,26365
11.92,51793
3.17,31185
14.65,58667
14.82,59452
16.37,71577
17.85,72447
11.74,63908
13.84,70427
4.08,28979
18.19,72211
7.85,49762
13.99,62324
11.71,50982
28.24,93905
3.38,31744
30.0,102975
25.85,85309
1.14,39581
0.62,25973
22.24,83820
18.34,61361
11.2,53026
12.56,60268
6.41,31371
2.14,35010
24.22,91028
26.26,87777
9.16,44481
19.06,82454
19.75,69803
24.55,92721
3.14,30929
13.73,48355
19.45,81259
24.83,78454
15.31,59664
3.45,36191
8.88,53809
24.67,80400
17.68,68010
7.38,51567
5.89,40652
5.84,43696
10.62,52150
4.27,45132
29.35,99575
16.51,75901
13.96,53762
29.52,103207
12.08,55644
27.69,89072
2.81,36056
11.22,47944
13.51,56911
25.49,99557
15.97,56109
15.55,63888
1.98,25941
23.47,82877
27.1,89189
24.52,85394
11.92,62446
15.23,64694
22.67,85883
18.33,64371
1.41,28408
28.28,86268
8.69,49068
27.11,83071
27.85,103289
25.0,71389
6.15,37813
3.32,29227
7.84,40789
19.95,86215
24.8,93373
12.17,59800
18.58,75679
11.98,62067
15.75,74293
29.56,103051
8.0,44524
23.54,88829
17.67,59808
16.7,70232
8.03,38691
22.06,81074
1.53,36295
26.52,89892
11.04,58759
9.13,41268
24.59,86835
0.69,17165
25.09,99030
3.26,47628
28.74,92861
9.99,53960
14.54,60359
27.14,87563
3.33,31817
7.75,32376
27.93,86002
12.95,59310
22.37,68654
11.68,52970
18.29,63575
28.0,98661
14.07,63174
2.09,33079
17.67,76236
27.38,89792
10.12,44347
14.65,64811
27.89,88863
15.14,68687
12.95,55159
22.31,84634
23.53,83567
12.23,63148
19.39,84588
0.13,21625
21.45,77367
5.62,42977
15.06,74363
15.2,70173
27.4,94888
9.8,45056
9.43,55549
26.56,86645
9.03,38267
16.6,67270
19.15,72540
20.03,83181
21.99,86046
15.61,68921
7.52,42244
12.74,53179
10.22,56586
26.82,89764
25.87,87268
21.58,88472
7.66,50912
9.66,47603
0.85,25704
29.34,100152
17.05,78863
12.18,59655
6.35,38685
0.54,28163
13.88,52216
21.57,88429
11.55,60422
16.06,71568
28.12,100096
25.27,77590
24.86,90072
8.63,53888
25.1,91496
22.19,81425
17.19,64285
10.44,47153
17.22,70996
16.39,61827
25.3,78062
11.96,52419
16.89,69557
1.34,33992
14.95,67698
22.56,82594
25.36,103285
6.77,48520
7.57,50193
27.21,86748
16.77,65247
13.92,55061
10.84,59753
7.0,36612
1.54,25357
18.05,73428
5.94,54286
6.5,42574
15.76,53965
14.11,50184
24.48,80890
22.85,86482
2.37,21021
28.0,85445
25.27,82867
3.03,38730
15.03,67659
7.76,41827
23.59,79348
23.6,72166
28.55,93570
14.46,63587
17.89,69600
20.78,74202
21.41,77063
6.58,38043
10.59,57945
1.36,28603
15.6,76011
1.99,40252
11.25,55719
5.85,46824
4.03,27265
24.37,76015
13.75,60661
16.95,70991
11.13,42757
10.48,67079
15.3,67549
7.67,41585
0.89,34014
26.0,94350
27.98,95427
8.86,58432
4.16,33862
2.12,32659
15.04,69594
7.95,45661
18.32,73547
6.71,51174
8.3,47667
18.11,71476
7.79,39244
15.72,66512
24.9,86357
27.71,90314
19.97,82382
4.42,28439
27.24,87525
23.37,87541
12.61,56288
12.34,51264
25.95,91944
8.12,47459
28.88,97732
8.12,55185
3.89,46837
24.53,101014
3.53,42955
5.42,27973
3.92,41306
28.87,87157
0.25,32688
28.63,101694
2.61,27755
12.07,61327
19.14,71775
12.21,66261
3.27,29541
27.27,94171
7.89,55089
17.87,68491
29.4,100623
23.9,82021
8.85,48947
25.64,90891
27.89,102077
27.15,91166
21.72,76312
22.22,75018
1.34,29775
4.99,41077
23.45,82651
23.92,91692
3.41,33025
8.43,47891
9.52,51026
14.85,64207
16.68,68906
9.28,49675
8.71,52814
8.53,47281
8.73,43344
4.28,43405
2.43,33115
5.18,44114
8.39,52327
5.59,38777
0.6,30919
6.5,45897
1.37,30208
13.96,68060
23.66,87404
11.45,49863
14.84,64614
17.42,70200
15.56,69094
14.33,71855
13.56,55981
9.28,39063
20.93,78746
18.9,67867
26.38,101827
29.68,86929
23.76,88268
9.33,46843
0.07,29814
22.57,83296
2.11,23671
23.43,82174
25.88,84888
13.43,54541
7.7,45304
9.69,59946
19.73,78312
11.03,64174
20.98,86239
13.45,50913
1.31,24693
27.67,90577
20.72,77652
23.12,85320
9.85,45590
10.14,48517
11.8,59155
9.15,47525
19.17,66505
5.14,45993
10.47,53117
17.25,65818
14.62,58631
11.87,65100
20.84,74678
13.56,45266
17.87,76127
24.41,95574
19.92,75303
14.18,51636
14.23,49907
19.37,79555
20.53,72772
5.14,42211
18.73,84191
17.9,62763
3.5,26485
4.9,43018
7.47,48808
3.15,39336
9.66,43937
8.96,48688
19.57,63765
15.62,78195
6.74,37883
25.78,83426
4.69,30466
5.89,44662
29.8,94159
5.15,47521
24.69,83252
5.85,33788
0.75,39389
13.37,66990
18.46,81417
24.08,68857
12.06,56854
0.96,39200
14.37,71578
3.91,38435
14.55,68492
0.6,36033
16.49,73051
16.14,62675
0.47,34565
12.66,57872
12.86,59056
0.69,23084
14.94,58389
24.05,78903
24.84,87603
14.25,62480
24.16,82280
3.55,36274
4.29,37274
19.01,76919
22.67,84906
15.93,70652
3.96,41434
24.65,96073
27.5,91828
18.01,67661
2.21,44128
28.74,89770
5.42,40989
16.17,68920
8.87,47829
4.45,46833
23.64,96074
14.73,67427
21.16,78352
25.0,79242
19.83,77805
1.39,33162
2.73,28540
11.46,60532
29.96,99837
28.11,87226
4.24,42734
17.46,65101
9.89,47903
0.28,25724
28.01,97476
9.38,54037
2.19,28048
20.67,80891
23.01,90563
22.43,91587
13.64,66719
25.97,97239
5.22,46183
15.79,66914
11.26,58275
0.06,21411
0.61,24724
24.1,73872
25.52,82574
8.42,53403
4.82,42592
15.12,75257
26.03,97843
15.69,66875
10.85,57687
3.8,45364
17.24,71828
4.05,39011
26.48,85509
3.05,52175
20.39,66746
27.41,95407
2.47,44317
29.29,100188
16.9,72584
1.63,27717
2.74,43490
8.98,48416
29.02,99563
16.63,62243
16.95,71038
14.17,62554
18.95,75186
16.02,67613
29.07,108766
13.38,72303
11.5,53207
27.75,88070
28.52,95053
17.56,64988
21.36,83884
27.73,95343
25.32,93184
24.24,97406
15.15,66151
1.85,34418
14.92,66961
29.85,101296
15.71,77696
15.6,58885
10.12,55591
29.69,100655
7.52,50416
15.55,64819
16.31,68498
6.35,45307
3.54,36668
29.65,91817
18.61,65218
18.87,69307
29.22,90906
9.27,45833
23.81,75487
12.18,58035
17.22,65865
24.62,79446
3.43,35446
24.4,80384
5.63,41582
20.58,73495
25.8,90222
4.27,37646
11.32,57773
1.09,31382
7.15,36983
16.41,64487
27.31,92313
26.47,88848
12.7,52819
1.6,37559
28.27,90706
26.81,92101
21.35,73717
24.27,83304
7.53,49528
19.16,72682
4.14,43170
21.11,76754
11.28,63451
19.04,76864
6.94,45158
26.03,87147
18.97,71209
24.68,81807
0.15,30963
12.67,60215
2.39,26383
9.09,54155
19.96,67056
17.05,58911
17.3,77244
22.55,82826
27.75,95074
10.37,54934
23.77,99940
19.73,69383
15.09,47445
22.55,92369
21.83,83439
28.57,96331
21.95,90032
8.95,53023
27.13,105899
28.17,83974
8.16,41374
13.58,57496
16.58,69446
9.49,60171
10.28,55653
0.01,15000
24.79,92386
4.13,29668
16.59,63551
4.21,39096
10.19,61560
11.12,60556
24.44,90130
23.57,85131
28.67,99107
21.6,79509
12.39,57236
7.12,49959
19.81,73168
10.97,61006
16.18,72326
21.26,83601
13.13,60143
27.13,97343
23.02,86525
7.99,48001
10.29,52194
17.23,78576
12.69,51550
27.72,98187
24.29,92194
27.78,92490
8.48,47165
25.68,86449
19.09,64822
28.76,97193
6.29,39458
3.84,43297
1.63,31233
13.22,58408
17.0,77837
15.15,74213
29.36,97095
7.09,54618
3.36,31702
22.45,74038
2.95,29388
13.33,56520
23.21,64889
19.65,69633
13.52,57955
4.29,43301
22.81,81680
29.61,97685
19.14,75465
10.61,46514
18.7,72654
9.31,53319
15.59,69716
24.42,89529
0.13,19254
15.14,60290
23.06,75258
3.61,37281
3.78,38435
27.34,97375
7.74,56184
16.32,60646
16.67,68244
16.77,75966
10.37,57697
3.21,42426
7.95,44175
2.41,24726
17.26,77495
21.1,80189
4.86,32476
8.05,53487
6.02,45669
28.14,97951
6.15,36592
24.35,95116
23.65,89231
5.15,48061
13.95,55219
6.28,46277
3.03,30660
12.99,54898
14.1,51506
0.97,25259
24.83,90337
18.24,56512
10.0,59576
21.3,79228
11.55,58389
22.97,74813
21.67,79699
29.62,90093
23.09,85282
0.15,23280
4.75,36788
26.34,93579
1.94,32778
14.17,53470
26.22,97226
26.19,95880
11.39,60553
27.76,91916
12.51,56314
29.0,95228
17.17,64487
20.88,72649
21.01,77375
8.34,56215
23.0,85017
27.58,105906
0.19,22747
1.68,25861
26.21,87065
29.72,94086
12.37,49572
7.5,54745
17.16,73950
12.64,69005
16.9,65574
17.59,75883
20.4,73477
20.07,74425
3.82,22918
15.23,68714
24.04,85710
2.55,35659
14.7,70415
8.78,45189
4.73,30724
15.8,65886
5.66,40673
6.99,40191
16.16,59142
3.13,46770
7.88,49684
22.92,72419
21.86,81391
18.45,80633
17.01,69511
23.62,81222
15.9,62852
19.68,71596
11.44,52815
23.94,84074
17.73,64202
10.18,48647
5.7,55907
27.72,97414
19.0,63282
19.11,73133
10.67,46539
23.18,90252
24.47,78345
3.72,42361
22.48,83180
4.06,33180
17.77,67151
1.83,24938
10.15,56132
24.34,81472
27.2,91689
20.64,79691
2.38,38598
29.36,98223
16.94,63679
27.31,95734
9.73,51911
3.35,42089
3.44,36925
10.63,54689
6.6,44804
13.82,71374
5.67,40423
26.4,86354
26.84,88637
16.76,71414
29.22,102538
7.57,33522
9.29,49600
17.5,70981
28.67,98267
21.21,78388
16.83,73521
11.33,48270
24.02,88163
25.7,87528
26.11,94668
17.34,71617
21.19,83672
15.23,68281
2.9,38291
27.52,99312
21.36,69601
22.56,71090
13.95,65258
14.87,70508
9.84,55302
27.4,88815
5.1,44921
20.51,81216
8.49,49132
26.81,105921
2.69,37565
25.79,89474
12.56,64708
17.49,74868
12.36,63266
11.15,48531
12.58,61460
11.81,63179
22.01,74836
13.08,67477
26.06,88788
29.15,97071
19.19,80691
24.11,95984
29.04,91505
7.66,48903
10.33,51822
27.73,97014
19.85,75387
16.5,73043
14.08,55144
29.98,102159
23.32,89175
5.65,38355
24.24,83828
5.1,38767
0.67,15000
19.15,79935
11.2,59515
2.6,29029
1.27,31566
17.2,72294
12.01,56725
29.39,99720
8.59,53285
15.67,69468
18.75,71892
23.48,84968
26.61,99427
2.29,34637
26.9,91621
8.1,46217
8.07,41790
18.21,75909
1.92,34523
22.69,86399
22.93,82441
24.93,86242
16.19,60496
6.13,51619
14.99,65452
17.11,62529
23.79,82258
14.8,60193
23.05,82829
14.69,68446
23.02,83906
7.27,43210
23.13,76052
29.82,102085
7.96,40736
16.94,72676
11.03,57609
25.86,96875
23.67,82554
3.87,26757
2.86,23679
17.65,69953
1.85,27900
2.64,36391
24.77,85678
3.42,32883
6.37,43032
23.67,74928
7.89,51135
15.3,58236
6.64,29480
0.11,23063
23.01,86698
12.52,57510
10.54,56552
22.83,79692
26.22,92597
10.86,49486
23.77,84173
15.94,75139
23.01,94654
28.12,93498
2.6,32439
12.25,65024
2.35,23112
8.34,51273
22.59,81825
29.43,93517
20.4,74703
5.08,31499
29.42,109810
25.07,91727
12.93,66829
13.58,55893
1.08,29360
16.83,70748
21.7,75909
29.56,95141
20.32,73544
7.51,45763
6.03,46696
25.23,89861
24.62,89806
21.87,78951
25.69,89757
16.07,69219
1.42,24131
18.49,74404
17.85,67422
26.44,91707
0.67,31177
19.01,73916
1.79,42561
28.13,95249
15.8,60838
8.12,46469
15.87,67451
26.17,95025
4.95,43281
13.6,58726
8.34,49336
15.77,67272
14.15,61761
8.12,47907
14.26,49712
22.58,76618
21.82,83600
17.72,74148
26.13,81816
18.34,60001
1.61,35995
23.89,80845
21.68,80693
5.76,40849
19.4,70157
10.88,54044
18.95,74643
10.65,49188
20.99,72945
29.86,103407
21.96,75533
12.16,51785
0.25,28079
0.65,29646
16.59,68419
25.93,97244
27.84,93788
17.54,69430
26.27,93445
2.37,34308
3.59,31911
18.98,68096
19.82,83620
0.82,32400
17.99,81967
5.5,37270
10.8,53176
18.7,75444
17.29,68296
14.48,54142
22.73,80775
25.82,79111
18.28,86429
10.98,55665
6.77,45847
7.43,41887
24.41,91611
5.25,43465
25.15,90382
5.54,54641
19.47,79788
19.66,66389
15.34,71233
7.06,41783
14.07,60673
3.9,37115
27.86,101328
18.44,69021
22.16,72843
7.87,54792
29.27,93290
9.51,55456
9.26,50061
2.33,47587
27.94,84936
22.79,80956
25.43,92915
4.22,36035
21.84,79216
29.54,95099
27.93,95852
23.54,79206
23.12,90840
9.77,46406
24.68,96793
20.31,80382
9.12,35957
0.56,32861
27.58,98541
18.2,66577
23.19,86964
28.81,90246
8.01,48245
8.56,53550
13.08,59138
18.34,61737
10.64,46731
20.04,63324
9.65,64821
15.56,71095
16.68,62512
8.72,40615
13.23,54738
26.94,103988
27.98,88904
7.1,43857
29.6,103412
15.18,65835
29.17,108905
12.8,45800
16.1,63210
17.53,80058
5.71,49379
13.78,65535
27.9,91985
27.76,91161
2.37,29935
21.44,83439
18.38,67811
12.93,54560
2.33,30805
8.23,50993
27.03,87612
6.82,50081
23.05,77863
22.49,75440
13.14,59151
14.24,57093
5.97,40991
27.3,95375
4.88,50671
5.79,29456
3.45,40447
29.15,92257
14.98,63206
11.71,52698
20.84,87835
19.05,70570
27.98,102850
22.45,76077
20.01,87374
14.92,58849
4.32,37530
24.32,78586
6.95,45945
28.15,107237
20.11,80926
5.33,42312
14.39,72792
11.19,55509
8.3,60517
19.02,70716
16.13,59876
5.45,51789
5.45,38951
10.53,51554
22.71,81464
27.52,94629
7.02,51086
15.04,59630
15.39,74182
15.14,76027
19.69,74243
29.93,95519
21.91,79231
8.91,50710
25.91,85499
21.67,77127
14.35,53602
4.39,30668
2.08,28744
12.68,62967
13.12,54046
6.28,37714
24.3,92299
1.24,31251
15.76,49931
18.11,83027
1.35,34019
9.52,50981
8.43,48848
19.03,70778
17.03,61054
13.93,55917
4.67,33929
23.38,86506
23.16,80941
17.01,61679
23.54,93258
4.42,47076
16.01,62695
28.95,87962
2.1,38718
3.05,43438
9.29,53000
10.05,48834
19.94,74170
7.86,61688
27.59,87937
22.55,76479
18.11,71694
2.45,38677
18.4,70079
8.25,44471
19.68,67182
16.64,58250
6.46,41503
15.15,67455
9.72,59023
27.62,96844
27.53,89436
30.0,92272
15.74,72956
11.56,55106
5.93,50615
13.58,62911
7.63,46150
23.13,87063
4.07,43209
19.2,71494
29.83,94163
22.05,82375
17.4,61327
25.07,81801
25.5,87106
24.82,94249
29.5,91824
6.42,40723
29.32,104850
1.7,33394
21.07,75749
18.25,71926
1.98,30254
23.2,79418
11.42,55350
3.8,41864
4.28,35530
10.21,48200
11.26,58124
13.84,62068
16.15,73660
24.99,80232
8.7,41677
28.87,103073
8.28,39009
4.04,41336
20.01,80144
22.67,88510
20.33,82299
1.27,37804
5.18,47661
1.19,18013
24.4,81248
1.83,31428
22.51,85898
9.47,50280
24.95,93100
18.14,72211
26.68,84945
20.8,72769
8.36,45296
3.85,41041
6.38,42429
0.9,31762
19.82,76137
17.42,61411
21.25,77684
27.84,90000
11.42,58023
14.8,58361
28.98,97660
22.7,77956
7.17,38440
11.22,62683
21.77,86043
22.11,78397
4.16,45386
4.27,39236
17.54,70286
21.04,70791
26.89,83329
11.44,62890
22.0,80327
22.89,85248
8.36,42223
11.39,62268
21.59,83752
12.0,49581
27.19,89218
26.43,98537
0.14,31376
28.84,99966
9.33,51657
22.26,72202
23.2,78858
12.48,52225
18.23,74084
17.37,66655
14.11,62558
7.02,37487
8.66,59326
21.24,73895
3.64,36984
27.25,108270
10.9,54173
19.43,68134
28.11,94970
9.59,47190
0.73,32552
0.12,17021
16.03,58535
20.77,94010
16.81,66199
23.46,75752
24.99,84831
21.42,78748
19.17,76189
29.76,102392
15.27,67493
24.28,87586
17.42,68721
14.24,61939
2.43,31053
28.59,101072
0.24,20505
19.8,77384
21.0,78098
2.85,44604
5.45,42836
26.46,94731
21.61,71923
3.08,38320
19.31,78337
10.5,56251
11.51,56214
1.86,24962
15.06,79107
28.03,85314
8.71,54081
16.58,71210
11.54,57439
6.56,50997
26.03,85279
22.77,74375
3.18,37037
2.16,30135
12.72,52897
29.97,97628
16.58,63963
26.46,93919
23.11,81473
1.85,27809
25.63,86522
3.97,32993
10.68,55280
13.66,49163
4.1,29730
2.98,31126
19.55,76458
27.85,90964
25.96,92600
5.01,28401
15.6,46610
9.89,47235
16.53,63036
28.27,94788
10.93,54092
12.56,60373
20.13,73243
11.65,51621
0.24,26679
19.92,72289
18.08,73924
23.12,86725
0.87,27781
21.83,74670
22.94,83098
0.82,25706
25.62,101960
29.93,102500
13.54,53683
29.31,95917
5.16,44360
7.25,42011
18.14,69864
29.14,89233
1.56,45139
14.48,59871
8.1,47851
4.99,38868
8.57,46549
22.3,85125
24.08,88630
13.59,53246
20.56,70202
21.38,83520
24.23,83971
15.29,66090
4.68,37638
18.7,69206
19.5,68712
12.83,67885
11.99,58202
26.91,91552
0.81,29765
8.66,44776
7.08,42182
7.6,36310
14.73,61963
29.35,82008
1.81,32454
28.41,96156
27.29,100007
12.53,64481
9.07,45674
29.42,101962
4.56,42461
8.85,52264
10.35,55531
4.62,32268
29.29,111111
3.12,42497
25.65,80743
2.54,41848
16.65,79750
20.85,82714
17.76,76605
27.18,96064
8.8,44066
4.25,36371
5.63,37891
29.98,103316
0.7,22785
5.54,44073
29.15,97248
20.95,68608
5.69,42320
14.43,65206
23.81,81526
3.07,38932
1.0,25828
25.78,98415
8.37,53486
8.69,59687
23.9,88952
29.09,95286
15.31,62131
10.36,56256
24.69,89752
24.91,92336
18.4,76802
10.55,43066
17.59,65502
5.18,40878
25.96,94059
13.78,51215
7.51,57042
16.96,75310
4.33,26842
4.12,27454
11.22,54597
19.34,63871
18.03,70594
4.69,45471
25.71,90705
28.24,100849
14.04,58716
19.51,76964
1.22,28084
4.87,37196
5.36,39264
14.15,55151
9.13,51601
2.48,30209
25.18,83562
28.68,89529
28.5,87579
15.42,60007
22.2,72665
16.14,67993
1.89,20625
28.79,94314
8.54,49351
18.78,72343
25.59,90119
22.4,89362
2.55,31090
1.76,30775
18.12,62666
0.42,37177
18.56,75910
6.91,33741
21.24,76556
29.62,102713
18.57,69372
7.44,44575
9.86,51698
2.41,30393
13.06,62600
10.26,46558
16.84,67113
28.72,94885
4.66,39697
11.73,58821
5.81,29332
1.28,35618
13.1,61120
22.99,82044
15.76,67391
12.41,55199
26.59,93195
20.08,75354
20.21,82856
13.66,51756
25.51,87291
23.21,89534
0.71,33793
22.18,86435
9.4,48993
6.18,38606
18.92,73777
24.17,85808
28.23,81856
9.38,44728
29.98,102240
10.85,49091
27.26,91539
6.74,51043
11.66,59711
8.74,44699
22.52,77309
25.17,92481
23.78,83639
13.79,59830
26.82,95847
4.58,39527
22.55,79987
2.86,37812
15.33,66813
9.46,44447
24.56,89863
26.35,93238
28.23,80817
10.39,47845
9.85,47129
15.82,60326
18.58,79888
8.79,53932
13.19,58494
28.36,88034
17.62,70132
21.78,80298
6.12,35567
14.96,67024
18.98,82611
20.37,74260
12.89,60720
5.88,43526
12.42,55966
2.89,33355
27.85,77975
11.61,52634
10.57,51387
13.57,62974
29.49,97990
18.76,65985
19.39,65923
7.5,49461
20.65,81307
4.31,37553
5.08,42357
21.46,77157
12.33,55331
17.56,72409
3.62,37102
6.52,42970
1.68,38649
13.38,59670
18.08,69426
15.93,67547
15.63,67955
25.01,90003
6.69,51149
25.27,85137
23.7,82871
4.99,45298
19.38,76874
0.33,34733
21.59,80906
15.22,63254
18.6,77905
5.08,27422
5.21,37525
13.24,60702
14.16,66099
29.82,108252
13.14,56672
2.37,36852
22.01,81156
27.33,92160
18.81,78383
28.49,95264
28.0,95745
5.42,40992
13.08,57390
13.88,61149
18.68,73997
12.24,59559
25.39,86374
1.76,42949
24.31,80581
26.77,92958
22.65,80009
8.57,50166
26.75,97170
6.17,39345
20.26,81511
15.44,69324
22.3,74237
5.86,46070
1.73,18354
7.75,55880
9.26,59467
27.79,94880
18.04,62847
2.57,37458
3.62,30566
3.9,36443
25.97,102880
19.65,71664
16.9,60277
18.3,60648
15.46,69387
4.08,38781
28.68,98403
25.07,88955
3.07,37157
12.04,55374
1.85,28577
21.18,81613
9.43,45077
29.81,95132
5.65,25172
14.49,49246
13.78,54707
3.32,30134
29.08,107680
4.98,44870
17.92,65606
15.89,72081
14.27,62662
4.55,35192
17.42,66662
15.09,64827
27.39,84775
6.99,52719
28.26,87274
20.74,80624
2.87,34962
3.6,36505
12.07,60318
25.4,96277
15.63,68244
6.04,43396
14.03,71740
23.33,79349
25.28,78852
18.36,73625
15.44,67812
18.48,69675
2.56,38314
23.01,77958
27.36,97317
0.06,15731
10.32,55388
26.46,92677
22.05,76304
26.55,92065
19.79,75487
12.38,51886
22.39,82451
18.59,58779
14.25,52614
17.63,63259
18.9,73175
11.57,52952
0.52,18966
9.04,45970
5.26,49257
12.1,52993
24.24,87375
27.26,97823
29.93,104591
20.64,79175
16.05,65388
6.67,52844
7.47,35059
1.98,34478
25.3,91781
7.82,47979
10.88,52556
19.81,73126
18.17,66420
8.07,45049
14.72,56461
13.81,58895
4.19,28347
19.82,76416
0.81,30137
4.37,30471
25.0,87951
14.19,60580
28.19,100286
26.85,95503
26.0,85932
10.59,61134
20.98,77659
2.72,37081
8.99,57098
29.85,95891
14.84,54523
1.91,26084
11.52,51379
23.16,78871
5.98,41634
18.18,75162
0.2,24910
10.44,54678
17.44,69242
1.78,37253
1.63,21959
7.69,42343
1.45,33023
22.81,74169
22.85,83718
21.99,80386
27.24,89599
19.05,81425
3.26,26540
23.5,90449
27.78,81697
29.95,101600
2.15,30271
13.26,48719
12.41,48508
4.04,29084
14.8,55734
9.52,46395
1.62,35180
19.3,65277
7.52,40172
29.34,87599
6.74,50865
20.62,90887
10.84,47309
6.94,47979
17.63,64112
26.16,94747
4.92,36307
8.45,40756
8.99,48433
0.3,23953
17.99,68309
15.24,62860
5.59,35074
12.6,63252
14.76,55647
14.84,64291
8.11,53745
10.88,51133
5.82,34519
5.17,49988
20.25,74123
25.1,105033
28.21,89183
11.09,53489
6.11,32306
7.79,40470
3.66,32639
23.24,90580
15.76,63907
27.06,95686
11.63,55523
27.04,97172
6.73,40356
22.13,67686
25.5,86962
23.65,82687
23.53,77011
17.33,72615
4.35,40876
13.3,52825
6.45,43790
16.24,60852
2.99,33897
19.78,76197
18.75,68133
11.86,66162
6.81,45539
0.74,28450
20.55,77243
11.6,56764
15.35,62363
17.16,69477
20.38,71154
17.02,69518
28.66,90241
27.92,94429
23.44,90537
8.19,46246
15.65,66966
14.29,53820
3.78,21609
21.66,84109
5.59,40254
27.13,98206
21.0,80425
22.69,86112
24.29,87927
11.19,56365
23.75,80634
23.37,82926
14.28,60712
24.83,78940
27.62,91155
8.62,44981
9.4,49927
9.54,50058
2.48,36868
28.47,105857
26.15,89437
27.57,99823
23.82,81528
5.32,40799
18.66,76653
23.28,70910
5.48,44499
1.73,25920
7.3,48025
27.12,101503
23.71,73089
2.5,37073
3.58,30097
8.59,44400
2.84,27667
10.33,44418
22.59,74760
11.57,57070
5.59,37953
20.53,84707
12.74,60716
5.25,37978
26.38,80188
14.39,54984
23.98,84110
4.29,37837
22.57,80085
13.6,56278
8.39,51713
0.94,25285
5.92,29325
13.57,67090
20.28,72516
23.04,84471
22.03,81640
5.65,41232
11.0,65623
19.58,78273
24.67,97006
12.96,65277
4.14,32322
10.43,60135
12.56,59060
15.55,67316
15.55,59557
13.9,58200
25.68,93288
3.69,33922
16.59,63472
1.96,29295
24.77,88665
15.05,57786
17.86,65284
25.5,90934
28.62,96793
2.04,36926
4.47,32276
13.22,59355
28.17,102019
2.94,38229
7.9,41418
12.64,60404
21.13,74723
12.54,64815
10.77,53105
5.14,48828
4.14,39268
9.55,62148
21.8,85437
15.68,57686
20.75,70842
7.87,40027
24.0,86444
19.02,85261
21.46,79371
13.69,62289
17.57,57718
18.39,72223
24.8,82840
21.01,75154
20.04,72444
21.72,67976
14.41,56388
20.13,81940
10.97,41716
16.61,62751
9.06,36916
1.2,37581
11.06,46023
14.06,54936
23.7,87515
4.32,47309
20.11,84957
1.16,30806
10.07,59572
6.36,44936
19.86,82402
23.21,89036
21.14,79786
10.99,40132
19.27,81206
9.71,56903
4.18,32600
1.66,29500
22.49,89091
28.88,97440
12.25,57293
18.73,76694
7.33,43679
26.36,93119
5.48,51058
28.53,104875
26.83,88628
13.37,75754
19.26,66577
0.09,15000
19.13,73687
16.4,74014
0.07,23885
23.77,85490
6.05,38052
9.18,49054
1.56,26560
11.97,65653
29.01,100695
18.29,68062
14.05,70438
29.41,95242
17.18,72686
25.65,90774
28.78,106152
11.15,56954
2.3,20351
24.86,90813
2.94,41013
1.34,34351
3.48,36751
24.47,84905
1.52,22100
23.83,83901
21.94,84006
13.24,60521
13.35,61152
25.86,86474
29.98,93030
11.51,51721
14.16,65828
22.22,83046
22.82,73191
12.66,56493
5.65,43472
22.26,89935
3.52,27561
17.14,68754
13.79,63883
4.23,36226
10.43,52108
12.87,61015
24.05,92562
19.82,77307
21.4,78465
2.92,35311
7.68,53245
4.11,35339
16.3,73300
24.85,84929
13.01,60944
4.56,44775
19.19,76809
10.0,44257
27.17,99412
26.81,86885
6.75,36481
10.39,45975
7.74,51045
1.41,38969
12.09,48777
4.49,39804
11.52,60023
4.06,45212
23.0,95698
28.98,104694
16.93,63253
11.3,57681
27.89,98712
10.28,51708
2.86,36051
1.13,28544
29.75,100428
16.05,61681
26.6,89503
12.86,72414
28.39,100951
26.97,94081
19.5,75483
8.03,34395
11.57,55983
5.16,48650
19.32,73406
20.54,81266
17.07,78679
23.65,64758
17.96,68225
28.04,92003
5.26,40739
12.34,61896
0.28,25752
10.9,54660
3.0,27746
21.25,86302
22.84,91768
29.91,99025
5.61,54317
25.2,87671
3.07,19458
11.29,54615
23.7,76763
5.81,44731
18.96,71274
25.97,78889
16.38,62489
10.27,57192
5.2,35059
21.62,74778
8.56,48027
19.19,72923
27.07,99942
29.39,99762
29.06,99554
9.92,55385
26.86,90364
4.37,37446
9.72,44315
24.36,85597
12.37,47909
23.64,77601
0.21,26600
26.64,93301
8.65,40352
16.12,71198
22.84,84272
19.93,72899
29.89,103478
29.4,100035
6.51,45531
25.15,90976
20.38,80964
23.39,87677
11.61,60048
25.81,83172
24.72,97986
25.64,82199
16.05,63151
17.49,73800
0.07,29920
12.62,53017
2.53,31387
11.93,45321
8.73,38061
10.08,55348
26.44,94479
11.19,50748
14.72,62996
28.63,90381
7.04,44120
15.4,66241
9.92,57825
14.07,48779
25.99,101935
16.85,71863
8.15,46783
26.23,88601
27.26,91515
27.09,92252
7.94,48295
1.44,24684
10.44,43138
18.5,70884
22.62,77002
9.43,40513
1.78,28892
18.92,73656
14.15,66408
20.24,72212
6.49,38304
11.94,54373
14.65,61745
2.52,32268
25.94,95316
8.53,54753
29.26,97691
29.39,106291
3.88,33458
24.87,83016
14.17,47673
24.63,81814
20.02,72041
14.43,66788
4.2,32980
29.73,101575
12.95,55041
26.77,83652
4.54,36568
18.59,74085
27.34,83236
22.48,78832
4.12,38275
5.85,35269
12.43,59624
12.16,49036
19.93,72680
18.01,81467
20.09,85518
